Order ID,Discount,Profit
CA-2016-110499,0.2,374.9925
CA-2017-122077,0.2,9.5992
CA-2015-167696,0.0,14.6264
CA-2014-154641,0.0,18.767
CA-2015-158148,0.0,10.881
CA-2016-125738,0.0,21.0128
CA-2016-129714,0.2,1.0668
CA-2016-130442,0.2,3.0576
CA-2017-128965,0.2,-19.1058
CA-2016-113551,0.8,-3.4122
CA-2016-162082,0.2,16.3737
CA-2014-127166,0.8,-31.008
CA-2017-128629,0.0,7.9128
CA-2016-101651,0.0,18.6872
CA-2015-153717,0.0,0.9512
CA-2014-169033,0.0,20.853
CA-2017-140298,0.2,2.14
CA-2014-116407,0.2,29.1424
US-2015-126977,0.0,41.2237
US-2014-119081,0.0,12.9792
CA-2014-153927,0.0,6.7392
US-2017-106663,0.2,11.36
CA-2016-134474,0.2,40.6878
CA-2016-140256,0.0,1.6704
CA-2015-143077,0.8,-10.2114
CA-2014-165428,0.8,-6.0192
CA-2016-141551,0.0,3.1104
CA-2017-167703,0.7,-4.1832
CA-2017-126914,0.2,-3.8864
CA-2015-134117,0.2,31.374
CA-2015-130022,0.0,1.8
CA-2015-134201,0.0,6.0147
CA-2016-159345,0.0,54.8604
CA-2017-168123,0.0,57.5016
CA-2016-152408,0.2,4.4772
CA-2017-147844,0.0,7.065
CA-2015-123113,0.0,4.485
CA-2014-155852,0.2,3.4048
CA-2014-134572,0.3,-95.67
CA-2017-122056,0.0,50.9208
CA-2016-101630,0.0,6.6846
CA-2016-142335,0.0,231.4116
CA-2016-157707,0.7,-190.8522
US-2016-108504,0.0,126.0558
CA-2014-114510,0.0,3.2392
CA-2015-100146,0.0,34.4148
CA-2017-141733,0.1,18.4604
US-2015-107349,0.8,-66.5088
CA-2016-152534,0.0,18.6624
CA-2015-150560,0.0,96.3438
CA-2014-131926,0.0,12.4416
CA-2017-104220,0.0,9.14
CA-2017-110198,0.2,-15.7176
US-2016-134488,0.3,-13.3176
CA-2016-134691,0.8,-3.9032
CA-2014-117709,0.0,21.06
US-2015-163433,0.3,-20.245
CA-2016-115756,0.0,10.584
CA-2015-162761,0.7,-8.5974
CA-2017-137498,0.2,-15.245
CA-2015-110324,0.0,1.0192
CA-2015-137064,0.8,-4.9878
CA-2014-110849,0.0,3.6022
CA-2017-164756,0.0,12.4416
CA-2015-157812,0.8,-21.168
CA-2015-138954,0.0,35.712
CA-2015-129854,0.0,7.5992
CA-2016-108350,0.0,48.5392
CA-2015-143105,0.2,249.995
CA-2016-155516,0.0,10.44
CA-2014-100895,0.0,67.1916
CA-2015-127502,0.0,2.8224
CA-2016-121671,0.0,4.8588
CA-2014-118962,0.2,21.259
CA-2016-134516,0.2,1.068
CA-2017-124205,0.0,102.9444
CA-2015-129322,0.0,210.4942
CA-2015-164882,0.0,8.027
CA-2014-141901,0.0,2.691
CA-2017-158169,0.0,152.0232
US-2014-167738,0.2,18.267
US-2014-122959,0.8,-336.6272
CA-2017-140242,0.2,76.6395
US-2016-166660,0.0,7.7728
CA-2017-153045,0.2,6.3936
CA-2014-116834,0.0,58.65
CA-2017-121888,0.0,116.3904
CA-2016-142398,0.2,-31.9144
CA-2014-110786,0.2,19.1976
CA-2014-126193,0.2,4.1125
CA-2017-125269,0.2,-18.196
CA-2014-169803,0.0,2.034
US-2017-160465,0.2,25.011
CA-2017-140949,0.0,3.4357
CA-2014-124618,0.2,89.997
CA-2017-120719,0.2,11.297
CA-2016-110254,0.0,1.8998
US-2016-110156,0.8,-2.0264
CA-2015-130736,0.0,0.0
CA-2016-114489,0.0,103.8015
US-2017-132381,0.4,-83.8752
CA-2014-131310,0.2,13.8528
CA-2017-140480,0.0,5.8744
CA-2017-118640,0.6,-5.7148
US-2016-156986,0.2,3.6288
US-2014-107699,0.0,26.4132
CA-2014-111451,0.2,-24.5646
US-2015-165743,0.7,-7.3692
CA-2017-162789,0.0,171.36
CA-2016-158869,0.0,33.3136
CA-2014-149643,0.0,10.9584
CA-2014-127866,0.0,160.623
CA-2016-145919,0.0,62.5056
CA-2014-104472,0.0,21.996
CA-2016-132066,0.4,-37.9152
US-2017-160836,0.2,3.21
CA-2016-119865,0.2,60.4968
CA-2016-122133,0.0,0.0
US-2015-126977,0.0,217.767
CA-2017-128363,0.2,30.6054
CA-2016-156685,0.2,3.5712
CA-2016-126158,0.2,40.3704
CA-2017-106859,0.0,25.424
CA-2016-169103,0.2,-3.8385
CA-2016-148698,0.2,5.397
US-2016-156986,0.2,-20.1362
CA-2015-149587,0.0,16.5354
CA-2015-140221,0.6,-1.8848
CA-2015-147501,0.2,2.1492
CA-2016-161473,0.2,4.6644
CA-2017-123029,0.0,47.994
CA-2017-105410,0.2,-131.5008
CA-2014-142587,0.4,-122.877
CA-2017-146024,0.8,-20.1663
CA-2016-111682,0.1,7.098
CA-2016-108105,0.0,34.9888
CA-2016-126732,0.0,31.2444
CA-2017-134649,0.0,3.4368
US-2015-130491,0.0,1.728
CA-2017-166198,0.0,34.146
CA-2014-128524,0.0,6.894
CA-2014-121006,0.0,11.9586
CA-2017-147361,0.0,14.677
CA-2017-111815,0.0,47.0548
CA-2015-122406,0.0,83.9916
CA-2017-143378,0.2,6.5538
CA-2015-164882,0.2,145.782
CA-2015-154823,0.2,-3.8976
CA-2016-169957,0.0,14.651
CA-2017-131233,0.2,3.5022
CA-2015-159786,0.4,-13.978
CA-2014-152905,0.2,-2.5248
CA-2014-141726,0.0,9.7608
CA-2015-111829,0.0,1480.4671
US-2016-110156,0.2,21.888
CA-2016-168354,0.0,7.668
US-2014-102631,0.6,-42.4926
CA-2014-133851,0.0,10.626
US-2016-106677,0.4,-15.992
CA-2015-153738,0.0,16.956
CA-2014-100363,0.2,6.8904
CA-2016-134376,0.0,16.5888
CA-2014-167927,0.0,30.0234
CA-2016-136686,0.0,122.7648
CA-2016-112102,0.0,75.6624
CA-2014-106719,0.2,2.6936
US-2017-124779,0.2,7.2576
CA-2016-133935,0.2,-99.6219
CA-2016-112109,0.7,-6.1152
CA-2014-103989,0.2,53.2
CA-2015-102491,0.0,170.5113
CA-2015-142755,0.0,2.0492
CA-2015-106978,0.2,4.2309
CA-2015-163587,0.0,315.8118
US-2016-142685,0.0,16.7034
CA-2015-149846,0.0,3.7996
CA-2015-135580,0.2,35.985
US-2016-123750,0.2,76.6395
US-2017-143770,0.0,27.882
CA-2016-153269,0.0,8.7906
CA-2015-142454,0.0,18.9702
CA-2015-163090,0.2,3.069
CA-2016-131093,0.2,-62.7725
CA-2016-146171,0.0,125.1432
CA-2016-149279,0.7,-2.1756
CA-2017-100111,0.0,12.712
US-2015-116981,0.0,3.4086
